"","Force.type","Force.level","year.of.record"
"478","Canine (No Bite)","L1",2015
"479","Canine (No Bite)","L1",2015
"480","Firearm Exhibited","L1",2015
"481","Firearm Exhibited","L1",2015
"482","Firearm Exhibited","L1",2015
"483","Firearm Exhibited","L1",2015
"484","Firearm Exhibited","L1",2015
"485","Canine (No Bite)","L1",2015
"486","Canine (No Bite)","L1",2015
"487","Firearm Exhibited","L1",2015
"488","Firearm Exhibited","L1",2015
"489","Firearm Exhibited","L1",2015
"490","Defense Tech / Take-down","L2",2015
"491","Defense Tech / Take-down","L2",2015
"492","Baton Miss","L2",2015
"493","Hands / Escort tech","L1",2015
"494","Hands / Escort tech","L1",2015
"495","Hands / Escort tech","L1",2015
"496","Hands / Escort tech","L1",2015
"497","Firearm Exhibited","L1",2015
"498","Firearm Exhibited","L1",2015
"499","Firearm Exhibited","L1",2015
"500","Firearm Exhibited","L1",2015
"501","Firearm Exhibited","L1",2015
"502","Firearm Exhibited","L1",2015
"503","Firearm Exhibited","L1",2015
"504","Firearm Exhibited","L1",2015
"505","Firearm Exhibited","L1",2015
"506","Firearm Exhibited","L1",2015
"507","Firearm Exhibited","L1",2015
"508","Firearm Exhibited","L1",2015
"509","Firearm Exhibited","L1",2015
"510","Firearm Exhibited","L1",2015
"511","Canine (No Bite)","L1",2015
"512","Canine (No Bite)","L1",2015
"513","Canine (No Bite)","L1",2015
"514","Canine (No Bite)","L1",2015
"515","Canine (No Bite)","L1",2015
"516","Canine (No Bite)","L1",2015
"517","Canine (No Bite)","L1",2015
"518","Canine (No Bite)","L1",2015
"519","Firearm Exhibited","L1",2015
"520","Firearm Exhibited","L1",2015
"521","Defense Tech / Take-down","L2",2015
"522","Hands / Escort tech","L1",2015
"523","Firearm Exhibited","L1",2015
"524","Taser Exhibited ","L1",2015
"525","Defense Tech / Take-down","L2",2015
"526","Taser Exhibited ","L1",2015
"527","Firearm Exhibited","L1",2015
"528","Firearm Exhibited","L1",2015
"529","Firearm Exhibited","L1",2015
"530","Firearm Exhibited","L1",2015
"531","Defense Tech / Take-down","L2",2015
"532","Hands / Escort tech","L1",2015
"533","Defense Tech / Take-down","L2",2015
"534","Taser Exhibited ","L1",2015
"535","Firearm Exhibited","L1",2015
"536","Firearm Exhibited","L1",2015
"537","Defense Tech / Take-down","L2",2015
"538","Taser No-Hit","L2",2015
"539","Firearm Exhibited","L1",2015
"540","Firearm Exhibited","L1",2015
"541","Hands / Escort tech","L1",2015
"542","Hands / Escort tech","L1",2015
"543","Hands / Escort tech","L1",2015
"544","Taser Exhibited ","L1",2015
"545","Taser Exhibited ","L1",2015
"546","Firearm Exhibited","L1",2015
"547","Firearm Exhibited","L1",2015
"548","Taser Exhibited ","L1",2015
"549","Taser Exhibited ","L1",2015
"550","Firearm Exhibited","L1",2015
"551","Taser Exhibited ","L1",2015
"552","Firearm Discharged","L4",2015
"553","Taser Exhibited ","L1",2015
"554","Hands / Escort tech","L1",2015
"555","Hands / Escort tech","L1",2015
"556","Hands / Escort tech","L1",2015
"557","Taser Exhibited ","L1",2015
"558","Taser Exhibited ","L1",2015
"559","Taser Exhibited ","L1",2015
"560","Taser Exhibited ","L1",2015
"561","Firearm Exhibited","L1",2015
"562","Firearm Exhibited","L1",2015
"563","Hands / Escort tech","L1",2015
"564","Hands / Escort tech","L1",2015
"565","Hands / Escort tech","L1",2015
"566","Hands / Escort tech","L1",2015
"567","Hands / Escort tech","L1",2015
"568","Hands / Escort tech","L1",2015
"569","Hands / Escort tech","L1",2015
"570","Hands / Escort tech","L1",2015
"571","Defense Tech / Take-down","L2",2015
"572","Firearm Exhibited","L1",2015
"573","Firearm Exhibited","L1",2015
"574","Firearm Exhibited","L1",2015
"575","Firearm Exhibited","L1",2015
"576","Firearm Exhibited","L1",2015
"577","Firearm Exhibited","L1",2015
"578","Firearm Exhibited","L1",2015
"579","Firearm Exhibited","L1",2015
"580","Taser Exhibited ","L1",2015
"581","Taser Exhibited ","L1",2015
"582","Hands / Escort tech","L1",2015
"583","Hands / Escort tech","L1",2015
"584","Firearm Exhibited","L1",2015
"585","Firearm Exhibited","L1",2015
"586","Taser Exhibited ","L1",2015
"587","Taser Exhibited ","L1",2015
"588","Taser Exhibited ","L1",2015
"589","Taser Exhibited ","L1",2015
"590","Firearm Exhibited","L1",2015
"591","Firearm Exhibited","L1",2015
"592","Canine (No Bite)","L1",2015
"593","Firearm Exhibited","L1",2015
"594","Firearm Exhibited","L1",2015
"595","Firearm Exhibited","L1",2015
"596","Firearm Exhibited","L1",2015
"597","Hands / Escort tech","L1",2015
"598","Hands / Escort tech","L1",2015
"599","Hands / Escort tech","L1",2015
"600","Hands / Escort tech","L1",2015
"601","Taser Exhibited ","L1",2015
"602","Taser Exhibited ","L1",2015
"603","Defense Tech / Take-down","L2",2015
"604","Hands / Escort tech","L1",2015
"605","Hands / Escort tech","L1",2015
"606","Hands / Escort tech","L1",2015
"607","Hands / Escort tech","L1",2015
"608","Hands / Escort tech","L1",2015
"609","Hands / Escort tech","L1",2015
"610","Hands / Escort tech","L1",2015
"611","Firearm Exhibited","L1",2015
"612","Firearm Exhibited","L1",2015
"613","Firearm Exhibited","L1",2015
"614","Hands / Escort tech","L1",2015
"615","Firearm Exhibited","L1",2015
"616","Hands / Escort tech","L1",2015
"617","Firearm Exhibited","L1",2015
"618","Firearm Exhibited","L1",2015
"619","Firearm Exhibited","L1",2015
"620","Firearm Exhibited","L1",2015
"621","Firearm Exhibited","L1",2015
"622","Firearm Exhibited","L1",2015
"623","Firearm Exhibited","L1",2015
"624","Hands / Escort tech","L1",2015
"625","Defense Tech / Take-down","L2",2015
"626","Taser No-Hit","L2",2015
"627","Hands / Escort tech","L1",2015
"628","Taser Exhibited ","L1",2015
"629","Taser No-Hit","L2",2015
"630","Hands / Escort tech","L1",2015
"631","Taser No-Hit","L2",2015
"632","Hands / Escort tech","L1",2015
"633","Firearm Exhibited","L1",2015
"634","Firearm Exhibited","L1",2015
"635","Hands / Escort tech","L1",2015
"636","Hands / Escort tech","L1",2015
"637","Hands / Escort tech","L1",2015
"638","Taser Exhibited ","L1",2015
"639","Firearm Exhibited","L1",2015
"640","Firearm Exhibited","L1",2015
"641","Canine (Bite)","L4",2015
"642","Firearm Exhibited","L1",2015
"643","Firearm Exhibited","L1",2015
"644","Firearm Exhibited","L1",2015
"645","Firearm Exhibited","L1",2015
"646","Firearm Exhibited","L1",2015
"647","Defense Tech / Take-down","L2",2015
"648","Hands / Escort tech","L1",2015
"649","Firearm Exhibited","L1",2015
"650","Hands / Escort tech","L1",2015
"651","Hands / Escort tech","L1",2015
"652","Hands / Escort tech","L1",2015
"653","Hands / Escort tech","L1",2015
"654","Hands / Escort tech","L1",2015
"655","Hands / Escort tech","L1",2015
"656","Hands / Escort tech","L1",2015
"657","Hands / Escort tech","L1",2015
"658","Hands / Escort tech","L1",2015
"659","Hands / Escort tech","L1",2015
"660","Taser Exhibited ","L1",2015
"661","Firearm Exhibited","L1",2015
"662","Hands / Escort tech","L1",2015
"663","Firearm Exhibited","L1",2015
"664","Firearm Exhibited","L1",2015
"665","Firearm Exhibited","L1",2015
"666","Defense Tech / Take-down","L2",2015
"667","Defense Tech / Take-down","L2",2015
"668","Firearm Exhibited","L1",2015
"669","Firearm Exhibited","L1",2015
"670","Firearm Exhibited","L1",2015
"671","Hands / Escort tech","L1",2015
"672","Hands / Escort tech","L1",2015
"673","Hands / Escort tech","L1",2015
"674","Hands / Escort tech","L1",2015
"675","Hands / Escort tech","L1",2015
"676","Hands / Escort tech","L1",2015
"677","Hands / Escort tech","L1",2015
"678","Hands / Escort tech","L1",2015
"679","Hands / Escort tech","L1",2015
"680","Hands / Escort tech","L1",2015
"681","Firearm Exhibited","L1",2015
"682","Firearm Exhibited","L1",2015
"683","Firearm Exhibited","L1",2015
"684","Firearm Exhibited","L1",2015
"685","Hands / Escort tech","L1",2015
"686","Hands / Escort tech","L1",2015
"687","Hands / Escort tech","L1",2015
"688","Hands / Escort tech","L1",2015
"689","Defense Tech / Take-down","L2",2015
"690","Hands / Escort tech","L1",2015
"691","Hands / Escort tech","L1",2015
"692","Hands / Escort tech","L1",2015
"693","Firearm Exhibited","L1",2015
"694","Firearm Exhibited","L1",2015
"695","Firearm Exhibited","L1",2015
"696","Hands / Escort tech","L1",2015
"697","Hands / Escort tech","L1",2015
"698","Firearm Exhibited","L1",2015
"699","Defense Tech / Take-down","L2",2015
"700","Firearm Exhibited","L1",2015
"701","Firearm Exhibited","L1",2015
"702","Firearm Exhibited","L1",2015
"703","Defense Tech / Take-down","L2",2015
"704","Firearm Exhibited","L1",2015
"705","Firearm Exhibited","L1",2015
"706","Hands / Escort tech","L1",2015
"707","Taser Exhibited ","L1",2015
"708","Hands / Escort tech","L1",2015
"709","Hands / Escort tech","L1",2015
"710","Hands / Escort tech","L1",2015
"711","Taser Exhibited ","L1",2015
"712","Firearm Exhibited","L1",2015
"713","Canine (Bite)","L4",2015
"714","Taser Exhibited ","L1",2015
"715","Firearm Exhibited","L1",2015
"716","Firearm Exhibited","L1",2015
"717","Hands / Escort tech","L1",2015
"718","Defense Tech / Take-down","L2",2015
"719","Firearm Exhibited","L1",2015
"720","Firearm Exhibited","L1",2015
"721","Firearm Exhibited","L1",2015
"722","Firearm Exhibited","L1",2015
"723","Taser Exhibited ","L1",2015
"724","Firearm Exhibited","L1",2015
"725","Hands / Escort tech","L1",2015
"726","Hands / Escort tech","L1",2015
"727","Hands / Escort tech","L1",2015
"728","Hands / Escort tech","L1",2015
"729","Hands / Escort tech","L1",2015
"730","Defense Tech / Take-down","L2",2015
"731","Defense Tech / Take-down","L2",2015
"732","Defense Tech / Take-down","L2",2015
"733","Defense Tech / Take-down","L2",2015
"734","Hands / Escort tech","L1",2015
"735","Hands / Escort tech","L1",2015
"736","Hands / Escort tech","L1",2015
"737","Hands / Escort tech","L1",2015
"738","Baton Miss","L2",2015
"739","Hands / Escort tech","L1",2015
"740","Taser No-Hit","L2",2015
"741","Taser No-Hit","L2",2015
"742","Hands / Escort tech","L1",2015
"743","Hands / Escort tech","L1",2015
"744","Defense Tech / Take-down","L2",2015
"745","Hands / Escort tech","L1",2015
"746","Hands / Escort tech","L1",2015
"747","Firearm Exhibited","L1",2015
"748","Hands / Escort tech","L1",2015
"749","Hands / Escort tech","L1",2015
"750","Firearm Exhibited","L1",2015
"751","Defense Tech / Take-down","L2",2015
"752","Defense Tech / Take-down","L2",2015
"753","Defense Tech / Take-down","L2",2015
"754","Firearm Exhibited","L1",2015
"755","Firearm Exhibited","L1",2015
"756","Firearm Exhibited","L1",2015
"757","Firearm Exhibited","L1",2015
"758","Firearm Exhibited","L1",2015
"759","Firearm Exhibited","L1",2015
"760","Firearm Exhibited","L1",2015
"761","Firearm Exhibited","L1",2015
"762","Firearm Exhibited","L1",2015
"763","Firearm Exhibited","L1",2015
"764","Firearm Exhibited","L1",2015
"765","Firearm Exhibited","L1",2015
"766","Defense Tech / Take-down","L2",2015
"767","Defense Tech / Take-down","L2",2015
"768","Defense Tech / Take-down","L2",2015
"769","Defense Tech / Take-down","L2",2015
"770","Defense Tech / Take-down","L2",2015
"771","Firearm Exhibited","L1",2015
"772","Firearm Exhibited","L1",2015
"773","Hands / Escort tech","L1",2015
"774","Hands / Escort tech","L1",2015
"775","Hands / Escort tech","L1",2015
"776","Defense Tech / Take-down","L2",2015
"777","Firearm Exhibited","L1",2015
"778","Hands / Escort tech","L1",2015
"779","Hands / Escort tech","L1",2015
"780","Hands / Escort tech","L1",2015
"781","Firearm Exhibited","L1",2015
"782","Firearm Exhibited","L1",2015
"783","Firearm Exhibited","L1",2015
"784","Firearm Exhibited","L1",2015
"785","Firearm Exhibited","L1",2015
"786","Firearm Exhibited","L1",2015
"787","Firearm Exhibited","L1",2015
"788","Firearm Exhibited","L1",2015
"789","Firearm Exhibited","L1",2015
"790","Hands / Escort tech","L1",2015
"791","Hands / Escort tech","L1",2015
"792","Firearm Exhibited","L1",2015
"793","Firearm Exhibited","L1",2015
"794","Defense Tech / Take-down","L2",2015
"795","Hands / Escort tech","L1",2015
"796","Hands / Escort tech","L1",2015
"797","Taser Exhibited ","L1",2015
"798","Firearm Exhibited","L1",2015
"799","Firearm Exhibited","L1",2015
"800","Firearm Exhibited","L1",2015
"801","Firearm Exhibited","L1",2015
"802","Taser Exhibited ","L1",2015
"803","Firearm Exhibited","L1",2015
"804","Taser No-Hit","L2",2015
"805","Firearm Exhibited","L1",2015
"806","Taser No-Hit","L2",2015
"807","Firearm Exhibited","L1",2015
"808","Taser No-Hit","L2",2015
"809","Firearm Exhibited","L1",2015
"810","Firearm Exhibited","L1",2015
"811","Hands / Escort tech","L1",2015
"812","Hands / Escort tech","L1",2015
"813","Firearm Exhibited","L1",2015
"814","Defense Tech / Take-down","L2",2015
"815","Hands / Escort tech","L1",2015
"816","Firearm Discharged","L4",2015
"817","Hands / Escort tech","L1",2015
"818","Hands / Escort tech","L1",2015
"819","Firearm Exhibited","L1",2015
"820","Firearm Exhibited","L1",2015
"821","Firearm Exhibited","L1",2015
"822","Firearm Exhibited","L1",2015
"823","Firearm Exhibited","L1",2015
"824","Firearm Exhibited","L1",2015
"825","Firearm Exhibited","L1",2015
"826","Firearm Exhibited","L1",2015
"827","Hands / Escort tech","L1",2015
"828","Firearm Exhibited","L1",2015
"829","Firearm Exhibited","L1",2015
"830","Firearm Exhibited","L1",2015
"831","Firearm Exhibited","L1",2015
"832","Hands / Escort tech","L1",2015
"833","Hands / Escort tech","L1",2015
"834","Hands / Escort tech","L1",2015
"835","Firearm Exhibited","L1",2015
"836","Hands / Escort tech","L1",2015
"837","Firearm Exhibited","L1",2015
"838","Firearm Exhibited","L1",2015
"839","Firearm Exhibited","L1",2015
"840","Firearm Exhibited","L1",2015
"841","Firearm Exhibited","L1",2015
"842","Firearm Exhibited","L1",2015
"843","Taser Exhibited ","L1",2015
"844","Firearm Exhibited","L1",2015
"845","Firearm Exhibited","L1",2015
"846","Taser Exhibited ","L1",2015
"847","Canine (No Bite)","L1",2015
"848","Firearm Discharged","L4",2015
"849","Defense Tech / Take-down","L2",2015
"850","Hands / Escort tech","L1",2015
"851","Taser Exhibited ","L1",2015
"852","Taser Exhibited ","L1",2015
"853","Canine (Bite)","L4",2015
"854","Canine (Bite)","L4",2015
"855","Hands / Escort tech","L1",2015
"856","Defense Tech / Take-down","L2",2015
"857","Defense Tech / Take-down","L2",2015
"858","Hands / Escort tech","L1",2015
"859","Defense Tech / Take-down","L2",2015
"860","Defense Tech / Take-down","L2",2015
"861","Hands / Escort tech","L1",2015
"862","Hands / Escort tech","L1",2015
"863","Taser Exhibited ","L1",2015
"864","Defense Tech / Take-down","L2",2015
"865","Firearm Exhibited","L1",2015
"866","Firearm Exhibited","L1",2015
"867","Firearm Exhibited","L1",2015
"868","Firearm Exhibited","L1",2015
"869","Firearm Exhibited","L1",2015
"870","Defense Tech / Take-down","L2",2015
"871","Taser Exhibited ","L1",2015
"872","Firearm Exhibited","L1",2015
"873","Firearm Exhibited","L1",2015
"874","Firearm Exhibited","L1",2015
"875","Firearm Exhibited","L1",2015
"876","Firearm Exhibited","L1",2015
"877","Firearm Exhibited","L1",2015
"878","Firearm Exhibited","L1",2015
"879","Firearm Exhibited","L1",2015
"880","Firearm Exhibited","L1",2015
"881","Firearm Exhibited","L1",2015
"882","Firearm Exhibited","L1",2015
"883","Firearm Exhibited","L1",2015
"884","Firearm Discharged","L4",2015
"885","Firearm Discharged","L4",2015
"886","Firearm Exhibited","L1",2015
"887","Taser No-Hit","L2",2015
"888","Hands / Escort tech","L1",2015
"889","Firearm Exhibited","L1",2015
"890","Firearm Exhibited","L1",2015
"891","Hands / Escort tech","L1",2015
"892","Taser No-Hit","L2",2015
"893","Hands / Escort tech","L1",2015
"894","Hands / Escort tech","L1",2015
"895","Defense Tech / Take-down","L2",2015
"896","Firearm Exhibited","L1",2015
"897","Firearm Exhibited","L1",2015
"898","Defense Tech / Take-down","L2",2015
"899","Firearm Exhibited","L1",2015
"900","Firearm Exhibited","L1",2015
"901","Firearm Exhibited","L1",2015
"902","Firearm Exhibited","L1",2015
"903","Firearm Exhibited","L1",2015
"904","Firearm Exhibited","L1",2015
"905","Firearm Exhibited","L1",2015
"906","Firearm Exhibited","L1",2015
"907","Firearm Exhibited","L1",2015
"908","Firearm Exhibited","L1",2015
"909","Firearm Exhibited","L1",2015
"910","Firearm Exhibited","L1",2015
"911","Firearm Exhibited","L1",2015
"912","Firearm Exhibited","L1",2015
"913","Firearm Exhibited","L1",2015
"914","Hands / Escort tech","L1",2015
"915","Hands / Escort tech","L1",2015
"916","Hands / Escort tech","L1",2015
"917","Hands / Escort tech","L1",2015
"918","Hands / Escort tech","L1",2015
"919","Hands / Escort tech","L1",2015
"920","Firearm Exhibited","L1",2015
"921","Taser Exhibited ","L1",2015
"922","Firearm Exhibited","L1",2015
"923","Hands / Escort tech","L1",2015
"924","Hands / Escort tech","L1",2015
"925","Hands / Escort tech","L1",2015
"926","Hands / Escort tech","L1",2015
"927","Hands / Escort tech","L1",2015
"928","Firearm Exhibited","L1",2015
"929","Firearm Exhibited","L1",2015
"930","Head Strike (No Wep)","L3",2015
"931","Head Strike (No Wep)","L3",2015
"932","Taser No-Hit","L2",2015
"933","Taser No-Hit","L2",2015
"934","Taser No-Hit","L2",2015
"935","Taser No-Hit","L2",2015
"936","Taser No-Hit","L2",2015
"937","Taser Exhibited ","L1",2015
"938","Hands / Escort tech","L1",2015
"939","Firearm Exhibited","L1",2015
"940","Firearm Exhibited","L1",2015
"941","Firearm Exhibited","L1",2015
"942","Firearm Exhibited","L1",2015
"943","Firearm Exhibited","L1",2015
"944","Firearm Exhibited","L1",2015
"945","Firearm Exhibited","L1",2015
"946","Firearm Exhibited","L1",2015
"947","Defense Tech / Take-down","L2",2015
"948","Hands / Escort tech","L1",2015
"949","Hands / Escort tech","L1",2015
"950","Hands / Escort tech","L1",2015
"951","Hands / Escort tech","L1",2015
"952","Hands / Escort tech","L1",2015
"953","Hands / Escort tech","L1",2015
"954","Taser No-Hit","L2",2015
"955","Taser No-Hit","L2",2015
"956","Defense Tech / Take-down","L2",2015
"957","Defense Tech / Take-down","L2",2015
"958","Firearm Exhibited","L1",2015
"959","Firearm Exhibited","L1",2015
"960","Taser No-Hit","L2",2015
"961","Taser No-Hit","L2",2015
"962","Firearm Exhibited","L1",2015
"963","Firearm Exhibited","L1",2015
"964","Taser Exhibited ","L1",2015
"965","Hands / Escort tech","L1",2015
"966","Defense Tech / Take-down","L2",2015
"967","Defense Tech / Take-down","L2",2015
"968","Hands / Escort tech","L1",2015
"969","Firearm Exhibited","L1",2015
"970","Firearm Exhibited","L1",2015
"971","Hands / Escort tech","L1",2015
"972","Hands / Escort tech","L1",2015
"973","Hands / Escort tech","L1",2015
"974","Firearm Exhibited","L1",2015
"975","Hands / Escort tech","L1",2015
"976","Hands / Escort tech","L1",2015
"977","Hands / Escort tech","L1",2015
"978","Hands / Escort tech","L1",2015
"979","Hands / Escort tech","L1",2015
"980","Hands / Escort tech","L1",2015
"981","Hands / Escort tech","L1",2015
"982","Hands / Escort tech","L1",2015
"983","Hands / Escort tech","L1",2015
"984","Firearm Exhibited","L1",2015
"985","Firearm Exhibited","L1",2015
"986","Firearm Exhibited","L1",2015
"987","Firearm Exhibited","L1",2015
"988","Not reported","Not reported",2015
"989","Firearm Exhibited","L1",2015
"990","Firearm Exhibited","L1",2015
"991","Firearm Exhibited","L1",2015
"992","Firearm Exhibited","L1",2015
"993","Firearm Exhibited","L1",2015
"994","Firearm Exhibited","L1",2015
"995","Firearm Exhibited","L1",2015
"996","Taser Exhibited ","L1",2015
"997","Hands / Escort tech","L1",2015
"998","Hands / Escort tech","L1",2015
"999","Firearm Exhibited","L1",2015
"1000","Firearm Exhibited","L1",2015
"1001","Firearm Exhibited","L1",2015
"1002","Firearm Exhibited","L1",2015
"1003","Defense Tech / Take-down","L2",2015
"1004","Defense Tech / Take-down","L2",2015
"1005","Defense Tech / Take-down","L2",2015
"1006","Hands / Escort tech","L1",2015
"1007","Hands / Escort tech","L1",2015
"1008","Defense Tech / Take-down","L2",2015
"1009","Defense Tech / Take-down","L2",2015
"1010","Hands / Escort tech","L1",2015
"1011","Firearm Exhibited","L1",2015
"1012","Firearm Exhibited","L1",2015
"1013","Canine (No Bite)","L1",2015
"1014","Hands / Escort tech","L1",2015
"1015","Defense Tech / Take-down","L2",2015
"1016","Hands / Escort tech","L1",2015
"1017","Defense Tech / Take-down","L2",2015
"1018","Taser No-Hit","L2",2015
"1019","Firearm Exhibited","L1",2015
"1020","Firearm Exhibited","L1",2015
"1021","Hands / Escort tech","L1",2015
"1022","Hands / Escort tech","L1",2015
"1023","Hands / Escort tech","L1",2015
"1024","Hands / Escort tech","L1",2015
"1025","Hands / Escort tech","L1",2015
"1026","Hands / Escort tech","L1",2015
"1027","Hands / Escort tech","L1",2015
"1028","Hands / Escort tech","L1",2015
"1029","Hands / Escort tech","L1",2015
"1030","Not reported","Not reported",2015
"1031","Defense Tech / Take-down","L2",2015
"1032","Defense Tech / Take-down","L2",2015
"1033","Hands / Escort tech","L1",2015
"1034","Hands / Escort tech","L1",2015
"1035","Hands / Escort tech","L1",2015
"1036","Hands / Escort tech","L1",2015
"1037","Defense Tech / Take-down","L2",2015
"1038","Firearm Exhibited","L1",2015
"1039","Taser Exhibited ","L1",2015
"1040","Firearm Exhibited","L1",2015
"1041","Taser Exhibited ","L1",2015
"1042","Firearm Exhibited","L1",2015
"1043","Firearm Exhibited","L1",2015
"1044","Firearm Exhibited","L1",2015
"1045","Firearm Exhibited","L1",2015
"1046","Hands / Escort tech","L1",2015
"1047","Hands / Escort tech","L1",2015
"1048","Not reported","Not reported",2015
"1049","Hands / Escort tech","L1",2015
"1050","Hands / Escort tech","L1",2015
"1051","Firearm Exhibited","L1",2015
"1052","Taser Exhibited ","L1",2015
"1053","Firearm Exhibited","L1",2015
"1054","Firearm Exhibited","L1",2015
"1055","Hands / Escort tech","L1",2015
"1056","Hands / Escort tech","L1",2015
"1057","Firearm Exhibited","L1",2015
"1058","Firearm Exhibited","L1",2015
"1059","Hands / Escort tech","L1",2015
"1060","Hands / Escort tech","L1",2015
"1061","Taser Exhibited ","L1",2015
"1062","Hands / Escort tech","L1",2015
"1063","Taser Exhibited ","L1",2015
"1064","Firearm Exhibited","L1",2015
"1065","Firearm Exhibited","L1",2015
"1066","Firearm Exhibited","L1",2015
"1067","Firearm Exhibited","L1",2015
"1068","Firearm Exhibited","L1",2015
"1069","Firearm Exhibited","L1",2015
"1070","Firearm Exhibited","L1",2015
"1071","Firearm Exhibited","L1",2015
"1072","Firearm Exhibited","L1",2015
"1073","Firearm Exhibited","L1",2015
"1074","Firearm Exhibited","L1",2015
"1075","Firearm Exhibited","L1",2015
"1076","Taser Exhibited ","L1",2015
"1077","Defense Tech / Take-down","L2",2015
"1078","Hands / Escort tech","L1",2015
"1079","Hands / Escort tech","L1",2015
"1080","Defense Tech / Take-down","L2",2015
"1081","Hands / Escort tech","L1",2015
"1082","Firearm Exhibited","L1",2015
"1083","Defense Tech / Take-down","L2",2015
"1084","L2-Other","L2",2015
"1085","Firearm Exhibited","L1",2015
"1086","Firearm Exhibited","L1",2015
"1087","Firearm Exhibited","L1",2015
"1088","Firearm Exhibited","L1",2015
"1089","Firearm Exhibited","L1",2015
"1090","Firearm Exhibited","L1",2015
"1091","Firearm Exhibited","L1",2015
"1092","Firearm Exhibited","L1",2015
"1093","Firearm Exhibited","L1",2015
"1094","Firearm Exhibited","L1",2015
"1095","Defense Tech / Take-down","L2",2015
"1096","Hands / Escort tech","L1",2015
"1097","Hands / Escort tech","L1",2015
"1098","Defense Tech / Take-down","L2",2015
"1099","Defense Tech / Take-down","L2",2015
"1100","Defense Tech / Take-down","L2",2015
"1101","Firearm Exhibited","L1",2015
"1102","Firearm Exhibited","L1",2015
"1103","Firearm Exhibited","L1",2015
"1104","Firearm Exhibited","L1",2015
"1105","Canine (No Bite)","L1",2015
"1106","Firearm Exhibited","L1",2015
"1107","Hands / Escort tech","L1",2015
"1108","Hands / Escort tech","L1",2015
"1109","Taser Exhibited ","L1",2015
"1110","Taser Exhibited ","L1",2015
"1111","Taser No-Hit","L2",2015
"1112","Taser No-Hit","L2",2015
"1113","Hands / Escort tech","L1",2015
"1114","Hands / Escort tech","L1",2015
"1115","Hands / Escort tech","L1",2015
"1116","Firearm Exhibited","L1",2015
"1117","Firearm Exhibited","L1",2015
"1118","Firearm Exhibited","L1",2015
"1119","Firearm Exhibited","L1",2015
"1120","Firearm Exhibited","L1",2015
"1121","Firearm Exhibited","L1",2015
"1122","Hands / Escort tech","L1",2015
"1123","Hands / Escort tech","L1",2015
"1124","Hands / Escort tech","L1",2015
"1125","Hands / Escort tech","L1",2015
"1126","Not reported","Not reported",2015
"1127","Taser Exhibited ","L1",2015
"1128","Firearm Exhibited","L1",2015
"1129","Hands / Escort tech","L1",2015
"1130","Hands / Escort tech","L1",2015
"1131","Defense Tech / Take-down","L2",2015
"1132","Taser No-Hit","L2",2015
"1133","Hands / Escort tech","L1",2015
"1134","Hands / Escort tech","L1",2015
"1135","Firearm Exhibited","L1",2015
"1136","Firearm Exhibited","L1",2015
"1137","Firearm Exhibited","L1",2015
"1138","Firearm Exhibited","L1",2015
"1139","Hands / Escort tech","L1",2015
"1140","Hands / Escort tech","L1",2015
"1141","Hands / Escort tech","L1",2015
"1142","Hands / Escort tech","L1",2015
"1143","Firearm Exhibited","L1",2015
"1144","Taser Exhibited ","L1",2015
"1145","Hands / Escort tech","L1",2015
"1146","Hands / Escort tech","L1",2015
"1147","Hands / Escort tech","L1",2015
"1148","Taser Exhibited ","L1",2015
"1149","Hands / Escort tech","L1",2015
"1150","Firearm Exhibited","L1",2015
"1151","Hands / Escort tech","L1",2015
"1152","Taser No-Hit","L2",2015
"1153","Hands / Escort tech","L1",2015
"1154","Hands / Escort tech","L1",2015
"1155","Hands / Escort tech","L1",2015
"1156","Hands / Escort tech","L1",2015
"1157","Hands / Escort tech","L1",2015
"1158","Firearm Exhibited","L1",2015
"1159","Firearm Exhibited","L1",2015
"1160","Hands / Escort tech","L1",2015
"1161","Hands / Escort tech","L1",2015
"1162","Firearm Exhibited","L1",2015
"1163","Firearm Exhibited","L1",2015
"1164","Defense Tech / Take-down","L2",2015
"1165","Hands / Escort tech","L1",2015
"1166","Hands / Escort tech","L1",2015
"1167","Taser No-Hit","L2",2015
"1168","Taser No-Hit","L2",2015
"1169","Firearm Exhibited","L1",2015
"1170","Firearm Exhibited","L1",2015
"1171","Firearm Exhibited","L1",2015
"1172","Firearm Exhibited","L1",2015
"1173","Firearm Exhibited","L1",2015
"1174","Firearm Exhibited","L1",2015
"1175","Firearm Exhibited","L1",2015
"1176","Firearm Exhibited","L1",2015
"1177","Hands / Escort tech","L1",2015
"1178","Hands / Escort tech","L1",2015
"1179","Firearm Exhibited","L1",2015
"1180","Firearm Exhibited","L1",2015
"1181","Firearm Exhibited","L1",2015
"1182","Firearm Exhibited","L1",2015
"1183","Not reported","Not reported",2015
"1184","Taser Exhibited ","L1",2015
"1185","Defense Tech / Take-down","L2",2015
"1186","Defense Tech / Take-down","L2",2015
"1187","Firearm Exhibited","L1",2015
"1188","Firearm Exhibited","L1",2015
"1189","Firearm Exhibited","L1",2015
"1190","Firearm Exhibited","L1",2015
"1191","Firearm Exhibited","L1",2015
"1192","Firearm Exhibited","L1",2015
"1193","Firearm Exhibited","L1",2015
"1194","Firearm Exhibited","L1",2015
"1195","Defense Tech / Take-down","L2",2015
"1196","Taser Exhibited ","L1",2015
"1197","Taser Exhibited ","L1",2015
"1198","Firearm Exhibited","L1",2015
