"","Action.taken.OIPM","Action.taken.year","Allegation.short","Allegation.primary.key"
"8024","None",2012,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","05523f8639f6d622161155f661cb1221"
"8025","None",2012,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","ff08c74f75699b1b6b67cfefd17754f5"
"8026","None",2012,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","96cc4797167a92caade961e81b0268fa"
"8027","None",2013,"COURTESY","67da11b59a7cc468ec6b2489ffc8e2a0"
"8028","None",2013,"Professionalism","c4aed563504aa9a5121fc97946793fb7"
"8029","None",2012,"NEGLECT OF DUTY","81344027edbf84a30777af212026e095"
"8030","Suspension",2016,"Professionalism","62272cba2717fcf173a17b65292dd045"
"8031","None",2013,"Professionalism","a395840e9f1563e7b5875d81373c6411"
"8032","None",2013,"INTERFERING WITH INVESTIGATIONS","ec98f362b3c7113a768df5c63483b701"
"8033","None",2016,"ADHERENCE TO LAW","cd9d03f09de80151469fd0420c1cac9b"
"8034","Suspension",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","48beaed15445d35244c6af347afba209"
"8035","None",2013,"NEGLECT OF DUTY","41a724f387188a694c4bed73c2fad755"
"8036","None",2013,"NEGLECT OF DUTY","a8259d896d25f9c78e122b78849f0244"
"8037","None",2012,"NEGLECT OF DUTY","6e71d6934effeb4f336e540cfce467be"
"8038","Illegitimate outcome",2012,"ADHERENCE TO LAW","a188fea1259719f11256649eb337ff63"
"8039","Illegitimate outcome",2012,"ADHERENCE TO LAW","cc58aa8e7462719ab67fa843b2a90d3c"
"8040","None",2012,"NEGLECT OF DUTY","1f5ce4cfec7f49b518aa1552a6792a31"
"8041","None",2014,"Professionalism","3a884a7c006978a93814b9edecaba5fa"
"8042","Illegitimate outcome",2013,"Professionalism","eddf14220d6d24cae838d337301f8ca0"
"8043","Illegitimate outcome",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","824b91bfcc2455b0f51c65a03c187c21"
"8044","None",2013,"DEVOTING ENTIRE TIME TO DUTY","94a89fbfcc6b6dfbb83f6151128ae1e1"
"8045","Illegitimate outcome",2013,"NEGLECT OF DUTY","6ce7412baafe4099367e5b7a1d83b0a6"
"8046","Illegitimate outcome",2013,"CEASING TO PERFORM BEFORE END OF SHIFT","b5e14179a64d4cfc9c81cce6c4fc777e"
"8047","Illegitimate outcome",2013,"LEAVING ASSIGNED AREA","af891de7af8ee043ba8971419c0acef5"
"8048","None",2013,"NEGLECT OF DUTY","c8456562c0b15a5c998e6413156f8442"
"8049","None",2013,"Professionalism","1fa52e441aad809bbd1dc4ac6d37ce36"
"8050","None",2013,"ACTING IMPARTIALLY","398f8e090619df08cbaf28deffecf768"
"8051","None",2013,"FALSE OR INACCURATE REPORTS","9cde3e7fc6c961b2d4ba964fc28cc465"
"8052","Letter of Reprimand",2013,"Professionalism","3d8633def6fe764819e099c03c01cd5d"
"8053","None",2013,"UNAUTHORIZED FORCE","181804b8d24ffa575b327abed0e614b9"
"8054","None",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7db2641c4efc1bb67a31371cd6e039b4"
"8055","None",2013,"USE OF DEPARTMENT EQUIPMENT","c4ebe840ed479b96eeeb1ba556062ab8"
"8056","Letter of Reprimand",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","583bf0d8b9c972b3dda77e5cb712c341"
"8057","Suspension",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","bc087bb78a4887750bd427f598060b4e"
"8058","Unknown action taken",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","bc087bb78a4887750bd427f598060b4e"
"8059","Letter of Reprimand",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","ea9e670b0b4304364a5f03623e082df0"
"8060","Suspension",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","ef26bb25688cd30847b0f0d4599a7a0f"
"8061","Illegitimate outcome",2013,"Professionalism","7a47a930c468f90737ba3de07c7d59a6"
"8062","None",2014,"UNAUTHORIZED FORCE","0d34d4cb7dd889cbeb50ac21d0482f04"
"8063","None",2012,"COURTESY","e67e1c4e8c72a865c89d8a88645900f5"
"8064","None",2013,"ADHERENCE TO LAW","0378ef094ec7d90cc4467aee977399e1"
"8065","None",2013,"FALSE OR INACCURATE REPORTS","df210c8e1109bef22bd11a9c65fc87b9"
"8066","None",2013,"ADHERENCE TO LAW","db709471263196fe8d4cad38f49eb24a"
"8067","None",2013,"FALSE OR INACCURATE REPORTS","6c1ebdbb1950c2f4ad250ad872cf99a3"
"8068","None",2013,"Professionalism","a8632be020833dd5d79909761e26f1d1"
"8069","Illegitimate outcome",2011,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","dfad252efb02782d31a279faf7fa63fd"
"8070","Illegitimate outcome",2011,"NEGLECT OF DUTY","67684e7bc9828d22672d9191a1a24288"
"8071","Suspension",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","6a041488f3d9fc029875396c7ba37104"
"8072","None",2013,"VERBAL INTIMIDATION","34548e30ee78834299ae637d22bd4bf5"
"8073","None",2013,"ACTING IN CIVIL MATTERS","76981d1a397274a6b1701e62b1c60c0e"
"8074","None",2014,"ADHERENCE TO LAW","4d667ab4f1b8a95a9ffe4daf4e234d00"
"8075","None",2014,"HONESTY AND TRUTHFULNESS","c00dd93033cf8b78dd43843ea8f51453"
"8076","None",2014,"ADHERENCE TO LAW","7b0f2075920647db386dfe6dda722e83"
"8077","None",2014,"HONESTY AND TRUTHFULNESS","c47da4fb888e381c0821a3fe76159ed2"
"8078","None",2013,"Professionalism","fca1cf1e8f8e880100ae0e2b6a55bf1f"
"8079","None",2013,"Professionalism","89328bec50b1dcebe65b7a03dbc472d8"
"8080","None",2012,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","496416a441c26f717efc47e06c9e2304"
"8081","None",2013,"HONESTY AND TRUTHFULNESS","2abcfa69ed5db743ce560e95a6cd39cc"
"8082","None",2013,"Professionalism","b29b52813ea5af707ab03209205a2c82"
"8083","None",2014,"COURTESY","fc82d47096d15709292d819a4c59d627"
"8084","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","afadd52b17f63ae1faa194f7b3ef3018"
"8085","None",2012,"Professionalism","33893354a039004151b766ea1928327d"
"8086","Suspension",2013,"NEGLECT OF DUTY","a0aed96e7b3e5c4b7027615a15604dca"
"8087","None",2013,"NEGLECT OF DUTY","cf3f46c4983766531a48edfcc098dad2"
"8088","Illegitimate outcome",2011,"NEGLECT OF DUTY","5d8f22cd379067e26893ebe226429773"
"8089","Illegitimate outcome",2011,"NEGLECT OF DUTY","d9c6803c868f408a690b03d0756e9edf"
"8090","None",2014,"NEGLECT OF DUTY","a7e356c96146fb30cfb2d72e5226cccb"
"8091","None",2014,"COURTESY","9aa7a31f1ac24ba5d7f339a20f368b58"
"8092","None",2014,"Professionalism","15e8245e8451257f4e43713cd356f7fc"
"8093","None",2014,"Professionalism","dd2a166d46e225965fb18f8af152f61a"
"8094","None",2011,"ADHERENCE TO LAW","392d4b389ef8e62eaeedd3be7e747969"
"8095","None",2014,"Professionalism","0bfd60b7fae8ac1fa969b9296b1f6605"
"8096","None",2014,"Professionalism","b7d1388a9ee9c44bfdf2406ad7d85b3f"
"8097","Suspension",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7ff50d74a4a1ff97cf6ac26449159c9a"
"8098","None",2017,"ASSOCIATIONS","6a0ad899340aeac82d083de15ebc5d69"
"8099","None",2017,"INTERFERING WITH INVESTIGATIONS","006300a5b92aed650667566ca5ec5511"
"8100","None",2017,"NEGLECT OF DUTY","9b517fbecd356ef90f9d3ba3b9546b07"
"8101","None",2017,"NEGLECT OF DUTY","43802ecc79b4881a5f7eb2957eeb2aae"
"8102","None",2017,"NEGLECT OF DUTY","af2f225f505c68588679d8e934a25f46"
"8103","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","763ddaf8df04c95bac6715bba8bf0065"
"8104","Suspension",2016,"NEGLECT OF DUTY","b79df01e4a65cdd9124b0545c6e6bb7b"
"8105","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c322b5e4fd9b2d3e22b60131102d322b"
"8106","Letter of Reprimand",2016,"NEGLECT OF DUTY","4ad7f0594b635e64b8c0ccd8d965e551"
"8107","None",2017,"NEGLECT OF DUTY","3c7cf5e717afedc62965736b19e27703"
"8108","None",2017,"Professionalism","ff30704b90017a73f190b570d5ef8203"
"8109","Pending Investigation",2017,"FALSE OR INACCURATE REPORTS","a7214a00ebb44f8da959e4bffa844d0c"
"8110","Pending Investigation",2017,"Professionalism","6c1bc7ea3c7f1175f089037a24913d28"
"8111","None",2017,"NEGLECT OF DUTY","04321569d3f45d9d99ffb28c4f1b4ed2"
"8112","None",2017,"NEGLECT OF DUTY","f88ff29b7c40daaca28492efb6cc9fa4"
"8113","None",2017,"NEGLECT OF DUTY","175a02bae9e45cddbcd86396cd276cdf"
"8114","None",2017,"NEGLECT OF DUTY","50357f71314b668d72d88a97fdad81cd"
"8115","None",2016,"Professionalism","e158ec41ecef96a7c4628fb554f5b2ce"
"8116","None",2017,"Professionalism","ec19ab227b69144b6d3b21f47bed6fbb"
"8117","Mediation",2016,"Professionalism","278fc591f091999cc14a7eb287444b9e"
"8118","None",2017,"NEGLECT OF DUTY","ddfbaadc5c28e9ef3cb9cb3830a7d601"
"8119","None",2017,"Professionalism","17b3640616fa5a7213227aae9a8a2037"
"8120","None",2017,"NEGLECT OF DUTY","a69ec670f1a6e7a2bf1958362d9391b9"
"8121","Suspension",2016,"NEGLECT OF DUTY","4d477bb95bce02f9359daa735c296e2c"
"8122","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","77d018c12cb2782ade5ce5ceeefa6d52"
"8123","Letter of Reprimand",2016,"Professionalism","317d48148fe95f85faddd82a9e6f40bd"
"8124","None",2016,"Professionalism","a432a3437fdd63f580816907c2ad0d92"
"8125","None",2017,"DISCRIMINATION","a6aa5ece1e219974ffe0a17559871005"
"8126","None",2017,"DISCRIMINATION","7d62cff4a7e663c3cca35987869df34a"
"8127","None",2017,"DISCRIMINATION","ee614a17f5bede537e389ec56dce01e0"
"8128","Resigned before disposition",2017,"ADHERENCE TO LAW","4e7cb98e4e31a9c86ee1c2cd49f0eb5d"
"8129","Resigned before disposition",2017,"ADHERENCE TO LAW","625ad3c930b9738052cc73b58e13c4a7"
"8130","None",2016,"HONESTY AND TRUTHFULNESS","e40177afca13a3377a43758738458ce2"
"8131","None",2016,"NEGLECT OF DUTY","6f14a6d508c19654f3e70272b49cb8d7"
"8132","None",2016,"NEGLECT OF DUTY","5af6728d9cd82d133318753e770b7b67"
"8133","None",2016,"NEGLECT OF DUTY","44e2102ea6f42efe4aea3e97519cee65"
"8134","None",2017,"Professionalism","47acbc4cf22da3dcb5081ea5cba99f53"
"8135","Pending Investigation",2017,"ADHERENCE TO LAW","55c94b93ddc83b534945d1a9ba3083e3"
"8136","Pending Investigation",2017,"ADHERENCE TO LAW","e9d07633cfee7c330f152afc108dd245"
"8137","None",2017,"Professionalism","868c5b25fb83a7c4d92821bd8c5ae3a5"
"8138","Resigned before disposition",2017,"ADHERENCE TO LAW","3c71ffa51886565453182f3a25a3927d"
"8139","DI-2",2017,"NEGLECT OF DUTY","f133af73d13a9f28cf9143bffb13a97e"
"8140","Letter of Reprimand",2018,"NEGLECT OF DUTY","e016ca72298137e3ab72068e43e7a5cc"
"8141","Suspension",2016,"DEVOTING ENTIRE TIME TO DUTY","3ad342e8e0bd3f9482453b86e36439a3"
"8142","None",2017,"ADHERENCE TO LAW","c14c11b21e877402a0c53584ee6f89e3"
"8143","None",2017,"","593bc74d03ff07690a8d3ca29876db86"
"8144","None",2017,"NEGLECT OF DUTY","b8237d33d0340b5367df9817c6e1426d"
"8145","None",2016,"NEGLECT OF DUTY","b7b3beabe7957905f67d7e74dae9eb9f"
"8146","None",2016,"NEGLECT OF DUTY","b1a6d727e8d3f3a45270307ef91db9ae"
"8147","None",2016,"NEGLECT OF DUTY","c3e8e50577eedcdb43aa7211a1f7f0f8"
"8148","None",2016,"NEGLECT OF DUTY","b86e60370febe3de911f5d04e4aa3433"
"8149","Resigned before disposition",2017,"ADHERENCE TO LAW","f4b0c4b496ddd6f0e7a42eb72a89a1d7"
"8150","None",2016,"DISCRIMINATION","6a61813753f1cd4ab3bad3a2c5fc8590"
"8151","None",2016,"DISCRIMINATION","3f3f72983544d9c4ba8888b9888cdd0e"
"8152","Pending Investigation",2017,"ADHERENCE TO LAW","81996872382abe257f7e62f954e185e7"
"8153","Pending Investigation",2017,"NEGLECT OF DUTY","3892d5744d257487db462e68bbf75149"
"8154","Pending Investigation",2017,"NEGLECT OF DUTY","336d38add16f274d9a4812257a69bb54"
"8155","None",2017,"NEGLECT OF DUTY","180a0fbfbaf906c66810752cda526994"
"8156","None",2017,"Professionalism","89d13cff5b44c7a3c7675f94d1cd160f"
"8157","Pending Investigation",2017,"HONESTY AND TRUTHFULNESS","c503fa638ae649859d1fd6822fc8e17b"
"8158","Pending Investigation",2017,"ADHERENCE TO LAW","2bdb894737381b3148de2cc0b934f39a"
"8159","Pending Investigation",2017,"Professionalism","744627ccd01989039654c9ac87994ec7"
"8160","Pending Investigation",2017,"SECURITY OF RECORDS","9d20a9e9014d6d4d076e94871f465a20"
"8161","None",2016,"Professionalism","ce199773b322264c90b1515131bd933f"
"8162","None",2016,"FALSE OR INACCURATE REPORTS","88fc02ff241a21d2a2cdac49f1ac51e4"
"8163","None",2017,"VERBAL INTIMIDATION","f72e9066f19a5f3836be902336cd1e8b"
"8164","Dismissed",2017,"NEGLECT OF DUTY","e27c3f226466293c9d2d6b8be9f7ba78"
"8165","None",2017,"ACTING IN CIVIL MATTERS","bc10a74178ad25c5d636cbe49e0633c0"
"8166","None",2017,"VERBAL INTIMIDATION","1e452bbe60c03d67951cc3c48ca1c316"
"8167","None",2017,"ACTING IN CIVIL MATTERS","e1c8aac6032bb20b287721f7037a2edd"
"8168","None",2017,"ACTING IN CIVIL MATTERS","4737c7843769b800bb66607fc21edcc2"
"8169","Dismissed",2017,"NEGLECT OF DUTY","a5750ce5da105b579ac54cda922488b6"
"8170","Dismissed",2017,"NEGLECT OF DUTY","23e38b528f420013a061b3e9a0e7aa95"
"8171","None",2017,"NEGLECT OF DUTY","0993bee07ca28eaafd206b0f0b191277"
"8172","Dismissed",2017,"NEGLECT OF DUTY","93ecdc77ceeec99aab6f4c3593409196"
"8173","Dismissed",2017,"NEGLECT OF DUTY","997b1b7364791d68975207364fe707bb"
"8174","Dismissed",2017,"NEGLECT OF DUTY","2ea2461379f7fc7c94656d5698a8efd9"
"8175","None",2017,"NEGLECT OF DUTY","ae5014e74bc052bad773965534d895b8"
"8176","Dismissed",2017,"NEGLECT OF DUTY","64e23feeadc2ecbca77fe06b248ef251"
"8177","Letter of Reprimand",2017,"NEGLECT OF DUTY","c70a237d7d45646bcb85bf8cb9e4d52c"
"8178","Letter of Reprimand",2017,"NEGLECT OF DUTY","fd8ac14b5f11a1f7b2d82a458e1b5d57"
"8179","Suspension",2017,"NEGLECT OF DUTY","37cb8644b986f70910084a9064d20ba7"
"8180","None",2017,"VERBAL INTIMIDATION","a6a6bfd454af30a18489a487ec961376"
"8181","None",2017,"Professionalism","fb85ee96f228cddf618fdbb1455ff999"
"8182","None",2017,"ACTING IN CIVIL MATTERS","92c2e4f3abb5cf60fbb919f57796b1c6"
"8183","None",2016,"COURTESY","fd3cdd7cc2625b7bbe5dcd751501699d"
"8184","Letter of Reprimand",2017,"Professionalism","a40dfaccac85751e65bf7a9c5d6105f9"
"8185","None",2016,"NEGLECT OF DUTY","254762762d0c45675eeb619f87f67dd8"
"8186","Suspension",2017,"NEGLECT OF DUTY","c364f3320170aa7f74673c1d58964118"
"8187","Suspension",2017,"NEGLECT OF DUTY","03d72f62b85bf247cc0e490020d05372"
"8188","None",2017,"NEGLECT OF DUTY","66b3fd3a1b6e5cc8f9d2ef8912e8bcc7"
"8189","DI-2",2016,"Professionalism","84d60818edfac145d59cecee79cd5613"
"8190","Letter of Reprimand",2017,"COURTESY","148738f4d90791de5835f192709b3e98"
"8191","Letter of Reprimand",2017,"Professionalism","19315069aea3abc57a332ef2646adebc"
"8192","Illegitimate outcome",2017,"Social Networking Websites....etc.","98e1ad87250b684589f3327b3a2c919a"
"8193","Letter of Reprimand",2017,"DEVOTING ENTIRE TIME TO DUTY","6baff50681675e0ebf46c52932c913e5"
"8194","None",2017,"INTERFERING WITH INVESTIGATIONS","a8f590381213b40b7d352edccaf74898"
"8195","None",2016,"NEGLECT OF DUTY","0575aa0c1393892e31198041beee88db"
"8196","None",2016,"NEGLECT OF DUTY","9726463a0875adcf347aa82835c0b2ed"
"8197","None",2016,"NEGLECT OF DUTY","30d10acbadcf77b8f38a04d45515b545"
"8198","None",2017,"DISCRIMINATION","aba2c4974be1a6e08e96624ec385c5ff"
"8199","Pending Investigation",2017,"ADHERENCE TO LAW","9ac3425367363339685422f55087fa88"
"8200","Pending Investigation",2017,"Professionalism","5c233f80b81782c262ab4c0c496ce3b2"
"8201","Pending Investigation",2017,"Abuse of Position","62334927ed2dff1523b3ce4445e6c132"
"8202","Pending Investigation",2017,"NEGLECT OF DUTY","5b7d1a32be81edae80ce3385c74dbe9e"
"8203","None",2017,"NEGLECT OF DUTY","908f4d75d0345cb9a60f62e72e515e9c"
"8204","None",2017,"NEGLECT OF DUTY","a9a9dea0390dfeb0eab37d672fae321f"
"8205","None",2016,"NEGLECT OF DUTY","ceff92a18c0a12d99f36b43a84b54d46"
"8206","Letter of Reprimand",2018,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","3fd7b828479e482c41d3174d949907f5"
"8207","Letter of Reprimand",2018,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","540d70efcbefdb61256c12cefbc97a49"
"8208","None",NA,"Professionalism","53a1bf1535541256619e6eb62d91af65"
"8209","DI-2",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","dfc8e18820af1370ea8bee50cfb6b041"
"8210","None",2017,"NEGLECT OF DUTY","842a11c72f4275d6c3addafe76c4bb34"
"8211","None",2017,"NEGLECT OF DUTY","a1f3552aee546217ea3a1a2182352e76"
"8212","None",2017,"DEVOTING ENTIRE TIME TO DUTY","0045f43d854843c3e49e95b3bac3f7dc"
"8213","None",2017,"NEGLECT OF DUTY","1609a86389839c79af096dadbae21fd4"
"8214","None",2017,"DISCRIMINATION","b52b95c6657dc05737a0e98d4815bcfa"
"8215","None",2017,"NEGLECT OF DUTY","3705e4daf8d1f7cf2def00fcd5a89b24"
"8216","None",2017,"Professionalism","f104907534018cdc8c448a564163eb20"
"8217","None",2016,"NEGLECT OF DUTY","fe9355f9c9ca5350ffec59e7e05efcbf"
"8218","Letter of Reprimand",2017,"NEGLECT OF DUTY","38900cec1cfe4582d7b218b09d0dea3d"
"8219","None",2017,"NEGLECT OF DUTY","d92e4e22b9d7d2806a5ec6bb3c9f86f6"
"8220","None",2017,"","c1c3087fe55df5182a5c8811552160bb"
"8221","None",2017,"DISCRIMINATION","cd80df60495cba4bec458eeec207850a"
"8222","None",2017,"NEGLECT OF DUTY","f69164fc14fac0db420c812e08dd067c"
"8223","None",2017,"Professionalism","9a718892b0b40b089e62d5a6068dbee2"
"8224","Pending Investigation",2017,"Professionalism","fa55d88e7c102ce867fbed6ba571e830"
"8225","Pending Investigation",2017,"VERBAL INTIMIDATION","6e370d421a18f319da9bd7cf16449997"
"8226","None",2018,"NEGLECT OF DUTY","0b1b5b747cc0c0eaa71f6243ae8b7829"
"8227","None",2017,"NEGLECT OF DUTY","577f9d448bd959a214e314d66b67edfc"
"8228","None",2017,"Professionalism","99ecd435b325dee88ccaccc2fde1ceba"
"8229","None",2017,"Professionalism","09ea1532b91794972fc24da8f5643d67"
"8230","None",2017,"Professionalism","371adeecbe7dc5212b2ef46322de1b01"
"8231","None",2017,"Professionalism","190f5e2b371080bd1064489b9a0e94ee"
"8232","None",2017,"Professionalism","97c330681236f4f45ec1b2397ccf92c9"
"8233","None",2017,"Professionalism","a6cd3ea3dfeb77af71f14ea3934861e7"
"8234","None",2017,"Professionalism","95aaabc905ac88a01c66929a5f317324"
"8235","Mediation",2016,"Professionalism","7bec007b4b4c19e5499d9262011dd2f8"
"8236","DI-2",2016,"NEGLECT OF DUTY","e624eb1c6d94a12a3a610a4138954a23"
"8237","Pending Investigation",2017,"ADHERENCE TO LAW","525901b79e00fe7566b659b44d0ac9ed"
"8238","Pending Investigation",2017,"ASSOCIATIONS","bece219f2eab137983a62a8953a858c2"
"8239","Mediation",2016,"COURTESY","500b1dfdbb7cc7bfb0e98f0a1c2e1db9"
"8240","Letter of Reprimand",2017,"NEGLECT OF DUTY","236001e83c89d755d52998f530a194f6"
"8241","None",2016,"NEGLECT OF DUTY","5d64e2936703fab63f7668ff8007983b"
"8242","None",2017,"DISCRIMINATION","0dc474f14bf5b7aecba81ac5ac2ff8e9"
"8243","None",2017,"Professionalism","7909d1ecae8bfe3752848ec2ad2472f9"
"8244","None",2017,"NEGLECT OF DUTY","2ef20da8fc296bba7a59684d9296f703"
"8245","DI-2",2016,"NEGLECT OF DUTY","f3a8b34b014d0c559a89ea9bee686647"
"8246","DI-2",2016,"NEGLECT OF DUTY","5efdf5de965873397af04c185bfc803a"
"8247","None",2017,"Professionalism","35e3559d78a33991ceea020fb161457a"
"8248","None",2017,"NEGLECT OF DUTY","41bd4253f12b1f8d57e2ea83e6f2a12d"
"8249","None",2017,"NEGLECT OF DUTY","4ab2bba7c0030a4899739f977535c383"
"8250","None",2017,"NEGLECT OF DUTY","f599b39ace2de09c02741f70f0345978"
"8251","None",2017,"DISCRIMINATION","b3ee9149c5f00f4fb0c861f30395bbbf"
"8252","Suspension",2017,"NEGLECT OF DUTY","e556172fea9ccee7df4e2111a9a38e21"
"8253","None",NA,"DISCRIMINATION","3d416544a5234d6dbee0a05af2734b32"
"8254","Suspension",2016,"NEGLECT OF DUTY","50f3f9e4eb925f1a9152e2bb53e1a1fd"
"8255","DI-2",2016,"Use of Tabacco","a058c3f0e038f8ec91b9355c1cfcf88f"
"8256","None",2017,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0f0bf716961b5de4d5f53b0863baadcb"
"8257","None",2017,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","34bb57fe631b9c59b9b4f41a3c6d306d"
"8258","None",2017,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","3873b5cd08448d29e38c3334e98c6e93"
"8259","None",2017,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","bacba4858597823c3eb0c6713e0b26ae"
"8260","None",2017,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","78ccde1450b2418c395023637612d438"
"8261","None",2017,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","18d2175d9dfe64a2e01c357e83e70f3f"
"8262","None",2017,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","2ae3dceae1f9d79eabd391b5ad7fd48b"
"8263","None",2017,"Professionalism","45ec9856bec50b26bc2169db9bb1add3"
"8264","None",2017,"NEGLECT OF DUTY","26c631fea7a9c78f51452b7d10c5089b"
"8265","None",2017,"NEGLECT OF DUTY","7935da2406a6f6606209de60b9756efc"
"8266","None",2017,"NEGLECT OF DUTY","5d1ff2c2a9ef9cadacf9d789705e31ed"
"8267","Letter of Reprimand",2017,"NEGLECT OF DUTY","4bfe50218e0e59afaf47af15d5d21ea4"
"8268","None",2017,"FALSE OR INACCURATE REPORTS","63994cd5da50f94de5db480d89d9966b"
"8269","None",2017,"FALSE OR INACCURATE REPORTS","97a294e9ccc8181f25a37d94dd9f4600"
"8270","None",2017,"DEVOTING ENTIRE TIME TO DUTY","c429db659ec75d505302527c2c266feb"
"8271","None",2017,"DEVOTING ENTIRE TIME TO DUTY","65210eb28c3fc7157345596a7052b90b"
"8272","None",2017,"NEGLECT OF DUTY","497a200838d56302957a249e9d5ff735"
"8273","None",2017,"VERBAL INTIMIDATION","6319b4d8159346e8146ae2efad7325c0"
"8274","None",2017,"NEGLECT OF DUTY","efa33545e866c46631664ad1ef218b81"
"8275","Suspension",2017,"NEGLECT OF DUTY","30bf4dc2058fc122ea363f62192ed22f"
"8276","Letter of Reprimand",2017,"NEGLECT OF DUTY","519ef0660df72317a7d0cbbf02410f79"
"8277","Letter of Reprimand",2017,"NEGLECT OF DUTY","ba21094f5bea3e515ce821c3d77cdaa7"
"8278","Suspension",2017,"LEAVING ASSIGNED AREA","1f6b58d69135b1140791651c1ca76c66"
"8279","None",2016,"PUBLIC STATEMENT AND APPEARANCES","3948c1c47f5fe807738d417baedab1d9"
"8280","Letter of Reprimand",2018,"NEGLECT OF DUTY","c4b8459d1889169b1231dacce7c5decc"
"8281","Letter of Reprimand",2018,"NEGLECT OF DUTY","b3679b42493882812a2ddc559e72969c"
"8282","Letter of Reprimand",2017,"NEGLECT OF DUTY","52c39d33aca95882ef9b126839b8d488"
"8283","None",2017,"NEGLECT OF DUTY","6011f0356806d4778b689ca62a3e673b"
"8284","None",2016,"","8409c61d3fdf64667e84a908055b7a48"
"8285","Suspension",2017,"NEGLECT OF DUTY","c34acbeba2b6d89b650d3e24cad651fc"
"8286","None",2017,"NEGLECT OF DUTY","eb6feb2cf06649e6768ebca4ce4c3a67"
"8287","Illegitimate outcome",2018,"Professionalism","bb83714ceb20762d2b9a280acc8a6d34"
"8288","None",2017,"NEGLECT OF DUTY","0174144fbcca930d515c4dbc81148f45"
"8289","None",2017,"NEGLECT OF DUTY","be3155efffa5ce912d60fa99861f2726"
"8290","None",2017,"NEGLECT OF DUTY","cf4f6fffefb2c1407d86ff18541f99eb"
"8291","None",2016,"Professionalism","5dc3de354b453f75aedf8bc8aa6c8045"
"8292","None",2017,"Professionalism","18043ae2905bbcffacd5c117278c7783"
"8293","None",2017,"NEGLECT OF DUTY","81650260701b10513f404050b3e4311c"
"8294","None",2017,"Professionalism","4ff7520327c472eadbc5d1061fa9a948"
"8295","Mediation",2016,"NEGLECT OF DUTY","8e7665afd1f2fdb460389bd64ba8355a"
"8296","None",2017,"NEGLECT OF DUTY","d490d71f6730d6e715c87246be5f2d43"
"8297","Letter of Reprimand",2017,"Professionalism","d959d71cd400b1587ec792b057de033e"
"8298","Letter of Reprimand",2017,"NEGLECT OF DUTY","df6bf15f7e0c6d901dff2eba8f9221c6"
"8299","None",2016,"NEGLECT OF DUTY","18f94c24ce48945dfef156119ef4152d"
"8300","Suspension",2017,"Professionalism","f55b08948d90feb9e2b483ceaa89976a"
"8301","Pending Investigation",2017,"Professionalism","ba065db8f63521220e9dc1017abf7478"
"8302","Pending Investigation",2017,"ADHERENCE TO LAW","50dde7d6d7d7d290abe18ccd0c495024"
"8303","None",2017,"NEGLECT OF DUTY","6d75c423af355a69700fcf369f9322ab"
"8304","None",2017,"NEGLECT OF DUTY","034ce4fc26c448d831a4fac66ff55ba9"
"8305","None",2016,"USE OF DEPARTMENT EQUIPMENT","ecebfdb8720caf0822d14e0f0a32f1b3"
"8306","None",2016,"ADHERENCE TO LAW","9178c9c3b987485a5dd0a779025924e8"
"8307","None",2016,"Professionalism","ed274770efea9e49b5a80c7c54765feb"
"8308","Mediation",2016,"NEGLECT OF DUTY","ad73811b944fb7dad7c54a7a31a2db84"
"8309","None",2017,"NEGLECT OF DUTY","cc9f851c4c01ff6c251f3db13d880bb5"
"8310","None",2017,"NEGLECT OF DUTY","4169641d9f29a230a208d3ede2c20589"
"8311","None",2017,"NEGLECT OF DUTY","f5ebda27a4827b782453e03240048f7d"
