"","Action.taken.OIPM","Action.taken.year","Allegation.short","Allegation.primary.key"
"241","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","5c3df3ba8d65951844ed98394e943e05"
"242","Suspension",2014,"NEGLECT OF DUTY","ff0373082e6a54039b006d8b88d1e56e"
"243","None",2018,"FALSE OR INACCURATE REPORTS","e8445f37172f565687083cc15937cff4"
"244","None",2018,"NEGLECT OF DUTY","a7444cf5bf8900a785e529181db8364c"
"245","None",2018,"NEGLECT OF DUTY","f42558824f898e56eea49f7199969f08"
"246","None",2018,"NEGLECT OF DUTY","bd73302a220aeb8f6b0da2b66343c0a5"
"247","DI-2",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","6228d20c681d59705629a0d662e10d79"
"248","DI-2",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","85f985358a4e358ff05ec768cda55146"
"249","None",2014,"","edaed7742625f49551e03604d1c53f6a"
"250","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a05c00b321361a238d30b841311b4de0"
"251","Letter of Reprimand",2014,"COURTESY","affd85b51048834c80582f1bf94a2f0b"
"252","Suspension",2014,"VERBAL INTIMIDATION","5276113d0bfd9433f8c56fcbfaceb8a2"
"253","None",2014,"Professionalism","a47136ae80a79ad03ed7ac324dddac7a"
"254","None",2014,"Abuse of Position","c856cf18bf320a47ed4d9f5eaf153758"
"255","None",2014,"NEGLECT OF DUTY","8a17f2aba4cc1eb023ac83ebd3c91c67"
"256","None",2014,"","f10300e539930fbdfcc801e9cb210d31"
"257","None",2014,"Professionalism","c8c025ff830a72ca854ed2e0aedb7014"
"258","None",2014,"Professionalism","806b854dc4ee773117c35ec04ef32ed1"
"259","None",2014,"Professionalism","6793ea80b059653710bfa1fdfd73297c"
"260","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","faa1d709d0baf3cacf9f272d2c846bb6"
"261","None",2014,"","f18689e927e834d68ae5b312903f51d5"
"262","Letter of Reprimand",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","107cf65a0919d98903f90d4175e9e5d4"
"263","None",2014,"","f04de04d2f33f0be16024b47166b04e9"
"264","DI-2",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","654a2a040e7e72db31a4eddfcc98420f"
"265","DI-2",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7b2b6fdca3ecec540a6c4123cebde0e4"
"266","Unknown action taken",2014,"","b746ff6de85add2a642b8fd9ac8e52ea"
"267","None",2014,"UNAUTHORIZED FORCE","24d156c6e2ff987aff4350e4f5c110c5"
"268","None",2014,"ADHERENCE TO LAW","133ba7f4652e4af9dfb95b449dd77860"
"269","None",2014,"","43361733a451c6270cff57f90b22f2c9"
"270","DI-2",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","87b9e4fbfca0966027b398abd55a9715"
"271","None",2013,"","609cc94dcbc6e7538899cad9601954b4"
"272","None",2014,"","40210631c7f9a8c1c4685e78fb3c22a2"
"273","None",2013,"","e94acdeeb3322770483eabda2ce91883"
"274","None",2015,"Professionalism","11749404ebd945eac08d97c17fe9f807"
"275","None",2015,"Professionalism","7daf37ceb868bac300529cb93bd8a890"
"276","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","25b543c704cd8d02e13737dfd71c58f4"
"277","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","cc6e4f6add36bce3cb0c8ac455f8bf94"
"278","Suspension",2014,"REPORTING FOR DUTY","1b0db4f4468108819423f0fabf3ceee1"
"279","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b0d864212f60fd2d9cc75f856edb593c"
"280","None",2014,"Professionalism","eb00ba07e978b367a0d510ce696afd3c"
"281","None",2014,"Professionalism","e5dfb374babed8e1e3eb09d5dcede775"
"282","None",2014,"","92d99824767c6551c6d6b136e40152cc"
"283","None",2014,"Professionalism","fc65b90561679bd401bf6518c9999996"
"284","None",2014,"Professionalism","bf7fc31652c11ff1216cd05055638bbf"
"285","None",2014,"Professionalism","af1a2f099dcdd6f6c6541c2fe9a1194d"
"286","None",2015,"ADHERENCE TO LAW","7491d2fe7b624c27e83b9077ddc02008"
"287","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","35733ec1a8cb067748746c3371a56c3a"
"288","None",2014,"","14c744ab2b61df394d04f02537cbb646"
"289","Letter of Reprimand",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","2705d198ec8239693112aa2c580f6b07"
"290","None",2014,"Professionalism","5076858b4c385422d0de7da5cfda82df"
"291","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","55d0516fd4d7bbd74f6032399580f9a7"
"292","None",2013,"","8f8fe23184c4832112415481348223d8"
"293","Pending Investigation",2013,"UNAUTHORIZED FORCE","697968d097b8a0c8b397df0e9dc8175f"
"294","Pending Investigation",2013,"COURTESY","8c4c96811d6916347b6ac5951da5acfc"
"295","Pending Investigation",2013,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c9203147bce24f02c07c6503e40be303"
"296","None",2015,"UNAUTHORIZED FORCE","3253f71ab2c10c74597c4b1dfaa21f50"
"297","None",2014,"UNAUTHORIZED FORCE","3c4bdf32e08a31bf24310c9876567faa"
"298","None",2014,"NEGLECT OF DUTY","eb90d4aacc2896eb1c917b716cf5ffbc"
"299","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","61801374886a76db2d3e8541f7174ff3"
